subject_id,session_id,run,localizer,trial_num,current_good,contingency_id,trial_in_contingency,contingency_trials,flower1,flower2,left_stimulus,right_stimulus,slot1_position,slot2_position,choice,rt,correct,reward,outcome,feedback_marker,trial_start_task_time,trial_start_lsl_time,choice_window_onset_task_time,choice_window_onset_lsl_time,choice_onset_task_time,choice_onset_lsl_time,choice_onset_unix_time,choice_marker_send_lsl_time,feedback_onset_task_time,feedback_onset_lsl_time,feedback_onset_unix_time,lsl_marker_send_time,wait_time,iti,run_start_task_time,run_start_lsl_time,run_end_task_time,run_end_lsl_time
sub-reasdfygui,ses-001,run-01,0,1,26,1,0,23,2,26,2,26,left,right,,,,,miss,33,0.0,319243.0704105,0.34928035736083984,319243.4192099,,,,,1785806053575.998,319245.2505095,1787593647221.0386,319245.2505095,578.7920506262783,300.0,0.0,319243.0703375,17.148885011672974,319260.2191425
sub-reasdfygui,ses-001,run-01,0,2,26,1,1,23,2,26,2,26,left,right,,,,,miss,33,3.184114694595337,319246.2539312,3.48840594291687,319246.5582549,,,,,1785806056763.4087,319248.4385703,1787593650408.4492,319248.4385703,623.5665770126949,300.0,0.0,319243.0703375,17.148885011672974,319260.2191425
sub-reasdfygui,ses-001,run-01,0,3,26,1,2,23,2,26,2,26,left,right,,,,,miss,33,6.372292995452881,319249.4423545,6.677525043487549,319249.7473701,,,,,1785806059952.375,319251.6266474,1787593653597.4155,319251.6266474,622.5384513404695,300.0,0.0,319243.0703375,17.148885011672974,319260.2191425
sub-reasdfygui,ses-001,run-01,0,4,26,1,3,23,2,26,26,2,right,left,,,,,miss,33,9.560500621795654,319252.6301048,9.864987850189209,319252.9347249,,,,,1785806063030.879,319254.7059545,1787593656675.9194,319254.7059545,514.8396333529375,300.0,0.0,319243.0703375,17.148885011672974,319260.2191425
sub-reasdfygui,ses-001,run-01,0,5,26,1,4,23,2,26,26,2,right,left,,,,,miss,33,12.640534400939941,319255.7101439,12.94472050666809,319256.0144319,,,,,1785806066242.8862,319257.9171944,1787593659887.9268,319257.9171944,645.167655613266,300.0,0.0,319243.0703375,17.148885011672974,319260.2191425
