subject_id,session_id,run,localizer,trial_num,current_good,contingency_id,trial_in_contingency,contingency_trials,flower1,flower2,left_stimulus,right_stimulus,slot1_position,slot2_position,choice,rt,correct,reward,outcome,feedback_marker,trial_start_task_time,trial_start_lsl_time,choice_window_onset_task_time,choice_window_onset_lsl_time,choice_onset_task_time,choice_onset_lsl_time,choice_onset_unix_time,choice_marker_send_lsl_time,feedback_onset_task_time,feedback_onset_lsl_time,feedback_onset_unix_time,lsl_marker_send_time,wait_time,iti,run_start_task_time,run_start_lsl_time,run_end_task_time,run_end_lsl_time
sub-10085,ses-1,10085-1,0,1,2,1,0,22,2,8,8,2,right,left,,,,,miss,33,0.0,1746.1344897,0.34886670112609863,1746.4828502,,,,,1788240083525.7065,1748.2715906,1790030113637.2068,1748.2715906,535.8600109667148,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,2,2,1,1,22,2,8,8,2,right,left,2.0,643.0778999999802,False,False,loss,32,3.142456531524658,1749.2765344,3.4470248222351074,1749.5809445,4.090102722235088,1750.2240224,1790030115594.7341,1750.4818817,1788240086311.408,1751.0566861,1790030116422.9082,1751.0566861,572.7738183248987,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,3,2,1,2,22,2,8,8,2,right,left,1.0,467.05659999997806,True,True,win,31,5.926847219467163,1752.0606961,6.2310791015625,1752.3649599,6.698135701562478,1752.8320165,1790030118198.3696,1753.0840841,1788240088989.3796,1753.7345975,1790030119100.88,1753.7345975,648.1880329247282,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,4,2,1,3,22,2,8,2,8,left,right,1.0,612.656399999878,True,True,win,31,8.604592323303223,1754.7386004,8.90947937965393,1755.0433813,9.522135779653809,1755.6560376999998,1790030121022.1477,1755.9084451,1788240091677.4087,1756.4227692,1790030121788.909,1756.4227692,511.69879914556174,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,5,2,1,4,22,2,8,2,8,left,right,1.0,485.155400000167,True,False,loss,32,11.292933702468872,1757.426787,11.596969366073608,1757.7309224,12.082124766073775,1758.2160778000002,1790030123583.8394,1758.4700127,1788240094384.534,1759.1298223,1790030124496.0342,1759.1298223,657.4415825530659,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,6,2,1,5,22,2,8,2,8,left,right,2.0,752.856999999949,False,False,loss,32,14.000306606292725,1760.134319,14.305288553237915,1760.4391694,15.058145553237864,1761.1920264,1790030126558.3303,1761.4452166,1788240097384.6577,1762.1299335,1790030127496.158,1762.1299335,682.2015354307741,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,7,2,1,6,22,2,8,8,2,right,left,1.0,497.125300000107,True,True,win,31,17.000282287597656,1763.134295,17.305259466171265,1763.4391338,17.80238476617137,1763.9362591000001,1790030129306.635,1764.1930189,1788240099963.7285,1764.7097767,1790030130075.2288,1764.7097767,514.9350704031965,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,8,2,1,7,22,2,8,8,2,right,left,1.0,437.0335000000978,True,True,win,31,19.580961227416992,1765.7149295,19.885087966918945,1766.019005,20.322121466919043,1766.4560385000002,1790030131826.3872,1766.7125229,1788240102634.8398,1767.3801101,1790030132746.34,1767.3801101,665.251698844065,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,9,2,1,8,22,2,8,8,2,right,left,1.0,407.73510000008173,True,True,win,31,22.25034475326538,1768.3841422,22.554471254348755,1768.6884813,22.962206354348837,1769.0962164,1790030134466.6099,1769.353272,1788240105153.085,1769.8983244,1790030135264.5852,1769.8983244,542.5073462284142,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
sub-10085,ses-1,10085-1,0,10,2,1,9,22,2,8,8,2,right,left,1.0,458.52289999993445,True,True,win,31,24.767508268356323,1770.9013945,25.071703672409058,1771.2055432,25.530226572408992,1771.6640661,1790030137033.6646,1771.919515,1788240107723.0774,1772.4691568,1790030137834.5776,1772.4691568,547.2493388931027,300.0,0.0,1746.1344085,319.43474674224854,2065.5686032
