subject_id,session_id,run,localizer,trial_num,current_good,contingency_id,trial_in_contingency,contingency_trials,flower1,flower2,left_stimulus,right_stimulus,slot1_position,slot2_position,choice,rt,correct,reward,outcome,feedback_marker,trial_start_task_time,trial_start_lsl_time,choice_window_onset_task_time,choice_window_onset_lsl_time,choice_onset_task_time,choice_onset_lsl_time,choice_onset_unix_time,choice_marker_send_lsl_time,feedback_onset_task_time,feedback_onset_lsl_time,feedback_onset_unix_time,lsl_marker_send_time,wait_time,iti,run_start_task_time,run_start_lsl_time,run_end_task_time,run_end_lsl_time
sub-10034,ses-1,10034-1,0,1,26,1,0,21,26,14,14,26,right,left,2,425.1689999946393,False,True,win,31,0.0,173080.0545522,0.34016990661621094,173080.3950516,0.7653389066108502,173080.8202206,1789742654523.99,173081.0746536,1787952912740.8499,173081.6922767,1789742655394.6067,173081.6922767,614.3952181120807,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,2,26,1,1,21,26,14,26,14,left,right,2,516.9680000108201,False,False,loss,32,2.6413331031799316,173082.6956774,2.944411516189575,173082.9993456,3.4613795162003953,173083.5163136,1789742657219.5078,173083.7697863,1787952915380.0264,173084.3313278,1789742658033.7832,173084.3313278,559.9865083744924,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,3,26,1,2,21,26,14,26,14,left,right,1,716.7613999918103,True,True,win,31,5.280916690826416,173085.3352437,5.585168123245239,173085.6395088,6.30192952323705,173086.3562702,1789742660059.401,173086.6089648,1787952918223.7498,173087.1756869,1789742660877.5066,173087.1756869,564.5617324081342,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,4,26,1,3,21,26,14,26,14,left,right,1,385.5022999923676,True,True,win,31,8.123589754104614,173088.178603,8.427605390548706,173088.4826974,8.813107690541074,173088.8681997,1789742662571.397,173089.1218868,1787952920849.4119,173089.8005814,1789742663503.1687,173089.8005814,676.8390762055599,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,5,26,1,4,21,26,14,26,14,left,right,1,487.21069999737665,True,True,win,31,10.750585794448853,173090.8047862,11.054781675338745,173091.1090165,11.541992375336122,173091.5962272,1789742665303.3892,173091.8533503,1787952923417.1282,173092.3690268,1789742666070.885,173092.3690268,513.1893281902205,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,6,26,1,5,21,26,14,14,26,right,left,2,606.5906999865547,False,False,loss,32,13.318087100982666,173093.3723212,13.6226065158844,173093.6775827,14.229197215870954,173094.2841734,1789742667987.388,173094.5367619,1787952926128.9446,173095.0808345,1789742668782.7014,173095.0808345,541.1803041293135,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,7,26,1,6,21,26,14,14,26,right,left,1,311.3827000197489,True,True,win,31,16.030423641204834,173096.084572,16.334596395492554,173096.3888213,16.645979095512303,173096.70020400002,1789742670403.0093,173096.9525869,1787952928560.0164,173097.5111226,1789742671213.7732,173097.5111226,556.342624767672,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,8,26,1,7,21,26,14,26,14,left,right,2,473.6249999841675,False,True,win,31,18.460195064544678,173098.5143781,18.7643826007843,173098.8185943,19.23800760076847,173099.2922193,1789742672998.1667,173099.5480154,1787952931132.3633,173100.0842938,1789742673786.12,173100.0842938,533.3551441867406,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,9,26,1,8,21,26,14,26,14,left,right,2,731.0982999915723,False,True,win,31,21.033880472183228,173101.0880934,21.339036464691162,173101.3931908,22.070134764682734,173102.1242891,1789742675828.662,173102.3780904,1787952934061.7183,173103.0128157,1789742676715.475,173103.0128157,632.3976651207101,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
sub-10034,ses-1,10034-1,0,10,26,1,9,21,26,14,14,26,right,left,1,330.6176000041887,True,False,loss,32,23.962531566619873,173104.0166574,24.267454862594604,173104.3216227,24.598072462598793,173104.6522403,1789742678355.2463,173104.9057672,1787952936649.3318,173105.6003385,1789742679303.0886,173105.6003385,692.6018638191608,300.0,0.0,173080.0544685,308.8539152145386,173388.9046978
