subject_id,session_id,run,localizer,trial_num,current_good,contingency_id,trial_in_contingency,contingency_trials,flower1,flower2,left_stimulus,right_stimulus,slot1_position,slot2_position,choice,rt,correct,reward,outcome,feedback_marker,trial_start_task_time,trial_start_lsl_time,choice_window_onset_task_time,choice_window_onset_lsl_time,choice_onset_task_time,choice_onset_lsl_time,choice_onset_unix_time,choice_marker_send_lsl_time,feedback_onset_task_time,feedback_onset_lsl_time,feedback_onset_unix_time,lsl_marker_send_time,wait_time,iti,run_start_task_time,run_start_lsl_time,run_end_task_time,run_end_lsl_time
sub-1219300000,ses-2,1219300000-2,0,1,49,1,0,23,39,49,49,39,right,left,2.0,563.2666000165045,True,True,win,31,0.0,330701.0611063,0.3413369655609131,330701.4020315,0.9046035655774176,330701.9652981,1789402718553.7598,330702.2217606,1787613316618.1787,330702.75204,1789402719335.8237,330702.75204,528.2364146373952,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,2,49,1,1,23,39,49,49,39,right,left,2.0,392.3633999656886,True,True,win,31,2.6953439712524414,330703.7558937,3.000335216522217,330704.0609693,3.3926986164879054,330704.45333269995,1789402721042.1174,330704.7097132,1787613319139.2307,330705.2722048,1789402721856.8757,330705.2722048,560.1826317004693,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,3,49,1,2,23,39,49,49,39,right,left,2.0,424.46639999980107,True,True,win,31,5.215615272521973,330706.2761801,5.520267963409424,330706.5807779,5.944734363409225,330707.0052443,1789402723591.8547,330707.259946,1787613321632.601,330707.7654728,1789402724350.246,330707.7654728,503.49293033677964,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,4,49,1,3,23,39,49,49,39,right,left,2.0,437.3234999948181,True,False,loss,32,7.706583738327026,330708.7677322,8.011391401290894,330709.0718779,8.448714901285712,330709.5092014,1789402726098.387,330709.7656936,1787613324284.8557,330710.4183169,1789402727002.5007,330710.4183169,650.1381840815831,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,5,49,1,4,23,39,49,39,49,left,right,2.0,646.6255999985151,True,True,win,31,10.36119031906128,330711.4214376,10.665641784667969,330711.7265484,11.312267384666484,330712.373174,1789402728958.47,330712.627294,1787613327151.6023,330713.285276,1789402729869.2473,330713.285276,655.7333919194948,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,6,49,1,5,23,39,49,39,49,left,right,2.0,403.6480000359006,True,False,loss,32,13.227831840515137,330714.288961,13.5328209400177,330714.5936236,13.9364689400536,330714.99727160006,1789402731585.1265,330715.2523612,1787613329698.9758,330715.8320498,1789402732416.6208,330715.8320498,577.1439525008674,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,7,49,1,6,23,39,49,39,49,left,right,2.0,489.5032000495121,True,True,win,31,15.774651288986206,330716.8354203,16.078709602355957,330717.1397314,16.56821280240547,330717.62923460006,1789402734216.1501,330717.8839645,1787613332319.1887,330718.4524704,1789402735036.8337,330718.4524704,566.4266236485844,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,8,49,1,7,23,39,49,39,49,left,right,2.0,508.3293999778107,True,True,win,31,18.394047021865845,330719.4556332,18.700749158859253,330719.7608136,19.209078558837064,330720.26914299995,1789402736858.0198,330720.5244327,1787613335087.1038,330721.2205652,1789402737804.7488,330721.2205652,693.3683829421984,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,9,49,1,8,23,39,49,39,49,left,right,2.0,516.6354000102729,True,True,win,31,21.164011240005493,330722.2240505,21.468472480773926,330722.5284771,21.9851078807842,330723.0451125,1789402739630.5242,330723.298011,1787613337697.002,330723.8299135,1789402740414.647,330723.8299135,529.2601842274655,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,10,49,1,9,23,39,49,39,49,left,right,2.0,674.0871000220068,True,True,win,31,23.77402400970459,330724.8345619,24.079014778137207,330725.139095,24.753101878159214,330725.8131821,1789402742402.003,330726.0690903,1787613340501.2869,330726.633778,1789402743218.932,330726.633778,562.6928192415912,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,11,49,1,10,23,39,49,49,39,right,left,2.0,495.0661000330001,True,False,loss,32,26.577783346176147,330727.6377368,26.881603002548218,330727.9420017,27.376669102581218,330728.4370678,1789402745023.8,330728.6913004,1787613343119.2896,330729.2523458,1789402745836.9346,330729.2523458,558.1159048289328,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,12,49,1,11,23,39,49,39,49,left,right,2.0,436.76339997909963,True,False,loss,32,29.196057081222534,330730.2558127,29.50037908554077,330730.5603063,29.93714248551987,330730.9970697,1789402747581.8328,330731.2495343,1787613345792.868,330731.9252214,1789402748510.513,330731.9252214,673.5767463302737,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,13,49,1,12,23,39,49,39,49,left,right,1.0,1097.6314999861643,False,False,loss,32,31.870030164718628,330732.9304885,32.175602436065674,330733.2354728,33.27323393605184,330734.33310429996,1789402750919.831,330734.5876023,1787613349084.3125,330735.2174088,1789402751801.9575,330735.2174088,627.5386254508977,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,14,49,1,13,23,39,49,39,49,left,right,2.0,384.4108000048436,True,False,loss,32,35.160117387771606,330736.2206715,35.46454834938049,330736.5247437,35.84895914938534,330736.9091545,1789402753496.7896,330737.1640273,1787613351539.4363,330737.6719369,1789402754257.0813,330737.6719369,505.57268075131833,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,15,49,1,14,23,39,49,49,39,right,left,,,,,miss,33,37.615638732910156,330738.6756084,37.92019844055176,330738.9802579,,,,,1787613354720.186,330740.8525032,1789402757437.831,330740.8525032,619.7422178675271,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,16,49,1,15,23,39,49,39,49,left,right,1.0,292.7780000027269,False,True,win,31,40.79529404640198,330741.8557392,41.100714683532715,330742.1603108,41.39349268353544,330742.4530888,1789402759042.3735,330742.7098692,1787613357135.823,330743.2678963,1789402759853.468,330743.2678963,555.2831743836849,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,17,49,1,16,23,39,49,39,49,left,right,1.0,180.93169998610392,False,False,loss,32,43.212491035461426,330744.2719568,43.51650285720825,330744.5762888,43.697434557194356,330744.7572205,1789402761342.2368,330745.0095348,1787613359489.9597,330745.622802,1789402762207.6047,330745.622802,610.262309980176,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
sub-1219300000,ses-2,1219300000-2,0,18,49,1,17,23,39,49,49,39,right,left,1.0,194.74589999299496,False,False,loss,32,45.56643795967102,330746.6258604,45.87104344367981,330746.9304452,46.065789343672805,330747.1251911,1789402763711.94,330747.3783148,1787613361844.0706,330747.9759488,1789402764561.7156,330747.9759488,595.9291820130866,300.0,0.0,330701.0610084,314.6493248939514,331015.7026673
