subject_id,session_id,run,localizer,trialNumber,stim_onset,stim_onset_lsl_time,stop_onset,stop_onset_lsl_time,response_onset,response_onset_lsl_time,outcome_lsl_time,marker_code,stimulus,stop,response,response_key,rt,ssd,go_correct,go_incorrect,go_miss,stop_success,stop_failure_arrowcorrect,outcome,run_start_lsl_time,run_end_lsl_time,run_start_task_time,run_end_task_time
sub-10890,ses-001,run-01,0,1,0.9272579999997106,3202.6543045,1.1772579999997106,3202.9060752,,,3204.1543533,131,right,1,False,,,0.25,0,0,0,1,,stop_success,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,2,6.1556571999999505,3207.8827061,,,6.860406799999964,3208.5876263,3208.587651,133,right,0,True,l,0.7047496000000137,0.3,1,0,0,0,,go_correct,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,3,10.813131200000043,3212.5401787,11.113131200000044,3212.8418442,,,3214.0402198,131,right,1,False,,,0.3,0,0,0,1,,stop_success,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,4,16.298471199999767,3218.0255214,,,16.860361900000044,3218.5875778,3218.5876034,133,left,0,True,a,0.5618907000002764,0.35,1,0,0,0,,go_correct,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,5,21.75922270000001,3223.4862724,,,22.43626740000036,3224.1634689,3224.1634929,133,left,0,True,a,0.6770447000003514,0.35,1,0,0,0,,go_correct,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,6,27.542101199999706,3229.2691499,,,27.892257199999676,3229.6194634,3229.6194871,133,right,0,True,l,0.35015599999996994,0.35,1,0,0,0,,go_correct,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,7,31.865766599999915,3233.5928145,32.21576659999992,3233.9444914,32.38028209999993,3234.1074555,3234.1074764,132,left,1,True,a,0.5145155000000159,0.35,0,0,0,0,True,stop_failure,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,8,38.12930060000008,3239.8563473,,,38.908391200000096,3240.6355924,3240.6356196,133,left,0,True,a,0.7790906000000177,0.3,1,0,0,0,,go_correct,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,9,42.84612010000001,3244.5731685,43.146120100000005,3244.8749302,43.29233789999989,3245.0195436,3245.0195651,132,right,1,True,l,0.44621779999988576,0.3,0,0,0,0,True,stop_failure,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,10,47.07608809999965,3248.8031347,,,47.76437409999971,3249.4915929,3249.4916182,133,left,0,True,a,0.6882860000000619,0.25,1,0,0,0,,go_correct,3201.7269998,3565.5158392,0.0,363.8022873401642
sub-10890,ses-001,run-01,0,11,50.73409689999971,3252.461158,,,51.5244160999996,3253.251662,3253.2516879,133,right,0,True,l,0.7903191999998853,0.25,1,0,0,0,,go_correct,3201.7269998,3565.5158392,0.0,363.8022873401642
