subject_id,session_id,run,localizer,trial_num,current_good,contingency_id,trial_in_contingency,contingency_trials,flower1,flower2,left_stimulus,right_stimulus,slot1_position,slot2_position,choice,rt,correct,reward,outcome,feedback_marker,trial_start_task_time,trial_start_lsl_time,choice_window_onset_task_time,choice_window_onset_lsl_time,choice_onset_task_time,choice_onset_lsl_time,choice_marker_send_lsl_time,feedback_onset_task_time,feedback_onset_lsl_time,lsl_marker_send_time,wait_time,iti,run_start_task_time,run_start_lsl_time,run_end_task_time,run_end_lsl_time
sub-2002,ses-001,run-01,0,1,2,1,0,23,49,10,49,10,left,right,,,,,miss,33,0.0009999275207519531,1186648.0482032,0.34036874771118164,1186648.387902,,,,2.2869176864624023,1186650.3338866,1186650.3338866,692.9263461890403,300.0,0.0,1186648.0475556,20.37448763847351,1186668.4217607
sub-2002,ses-001,run-01,0,2,2,1,1,23,49,10,49,10,left,right,,,,,miss,33,3.2913637161254883,1186651.338327,3.596128463745117,1186651.6432455,,,,5.423269271850586,1186653.4707114,1186653.4707114,573.0884723954264,300.0,0.0,1186648.0475556,20.37448763847351,1186668.4217607
sub-2002,ses-001,run-01,0,3,2,1,2,23,49,10,10,49,right,left,,,,,miss,33,6.427365779876709,1186654.4749185,6.731866836547852,1186654.7793425,,,,8.576576471328735,1186656.6238523,1186656.6238523,590.9172134731217,300.0,0.0,1186648.0475556,20.37448763847351,1186668.4217607
sub-2002,ses-001,run-01,0,4,2,1,3,23,49,10,49,10,left,right,,,,,miss,33,9.580162763595581,1186657.627129,9.883364915847778,1186657.930931,,,,11.789284944534302,1186659.8367993,1186659.8367993,652.4165471617086,300.0,0.0,1186648.0475556,20.37448763847351,1186668.4217607
sub-2002,ses-001,run-01,0,5,2,1,4,23,49,10,10,49,right,left,,,,,miss,33,12.792236328125,1186660.8401439,13.097616910934448,1186661.1447185,,,,14.919735431671143,1186662.9670832,1186662.9670832,568.2887091417582,300.0,0.0,1186648.0475556,20.37448763847351,1186668.4217607
sub-2002,ses-001,run-01,0,6,2,1,5,23,49,10,10,49,right,left,,,,,miss,33,15.923009157180786,1186663.9704297,16.227591276168823,1186664.2746894,,,,18.065706968307495,1186666.1126738,1186666.1126738,583.5706536074655,300.0,0.0,1186648.0475556,20.37448763847351,1186668.4217607
