subject_id,session_id,run,localizer,trialNumber,stim_onset,stim_onset_lsl_time,stop_onset,stop_onset_lsl_time,response_onset,response_onset_lsl_time,outcome_lsl_time,marker_code,stimulus,stop,response,response_key,rt,ssd,go_correct,go_incorrect,go_miss,stop_success,stop_failure_arrowcorrect,outcome,run_start_lsl_time,run_end_lsl_time,run_start_task_time,run_end_task_time
sub-10010,ses-001,run-01,0,1,2.060779800005548,57311.942907,2.310779800005548,57312.1946054,2.732159600003797,57312.6144362,57312.6144659,132,right,1,True,l,0.6713797999982489,0.25,0,0,0,0,True,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,2,7.925762999999279,57317.8078753,,,8.244043799997598,57318.1262775,57318.1263022,133,left,0,True,a,0.3182807999983197,0.2,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,3,13.738732300000265,57323.6208444,,,14.132122099996195,57324.0143852,57324.0144087,133,left,0,True,a,0.39338979999592993,0.2,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,4,17.310550000001967,57327.1926628,,,17.636445200005255,57327.5187354,57327.5187704,133,left,0,True,a,0.32589520000328775,0.2,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,5,22.2370785000021,57332.1191929,,,22.55616170000576,57332.4383963,57332.4384195,133,left,0,True,a,0.31908320000366075,0.2,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,6,27.455829400001676,57337.337942,27.655829400001675,57337.5394977,27.80408180000086,57337.6863328,57337.6863573,132,left,1,True,a,0.34825239999918267,0.2,0,0,0,0,True,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,7,33.41771940000035,57343.2998339,,,33.804099300003145,57343.686388,57343.686413,133,left,0,True,a,0.3863799000027939,0.15,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,8,39.19476710000163,57349.076883,,,39.54004079999868,57349.4223371,57349.4223621,133,right,0,True,l,0.34527369999705115,0.15,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,9,43.20576720000099,57353.0878955,,,43.54016409999895,57353.4224809,57353.4225081,133,left,0,True,a,0.3343968999979552,0.15,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,10,50.01226999999926,57359.8943824,,,50.35592629999883,57360.2383019,57360.2383284,133,right,0,True,l,0.3436562999995658,0.15,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,11,53.52903830000287,57363.4111505,,,53.81221010000445,57363.6945746,57363.6946032,134,right,0,True,a,0.2831718000015826,0.15,0,1,0,0,,go_incorrect,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,12,57.44790540000395,57367.3300199,,,56.11577670000406,57367.3302657,57367.3303415,132,right,1,True,l,-1.3321286999998847,0.15,0,0,0,0,True,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,13,61.10853450000286,57370.9906916,,,59.23859350000566,57370.990835,57370.9908918,132,right,1,True,l,-1.8699409999971977,0.1,0,0,0,0,True,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,14,66.35762120000436,57376.2397336,,,63.81628560000536,57376.2398208,57376.2398359,132,right,1,True,l,-2.5413355999990017,0.05,0,0,0,0,True,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,15,71.52511850000155,57381.4072445,,,70.09688980000647,57381.4073458,57381.4073626,134,left,0,True,l,-1.4282286999950884,0.05,0,1,0,0,,go_incorrect,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,16,74.5038324000052,57384.3859477,,,73.49534690000291,57384.3860373,57384.3860455,132,right,1,True,l,-1.0084855000022799,0.05,0,0,0,0,True,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,17,78.7016403000016,57388.5837554,,,77.11550690000149,57388.5839567,57388.5839821,134,left,0,True,l,-1.586133400000108,0.05,0,1,0,0,,go_incorrect,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,18,82.04644140000164,57391.928554,,,80.70041119999951,57391.9286977,57391.9287495,133,left,0,True,a,-1.346030200002133,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,19,87.07393720000255,57396.9560528,,,84.81869800000277,57396.9561605,57396.9561714,133,right,0,True,l,-2.255239199999778,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,20,91.63666940000257,57401.518784,,,88.98015220000525,57401.5189161,57401.5189847,133,right,0,True,l,-2.6565171999973245,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,21,96.12243519999902,57406.0045582,,,93.86783640000067,57406.0047029,57406.0047664,133,left,0,True,a,-2.254598799998348,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,22,99.8022620000047,57409.6843744,,,97.92589650000446,57409.6845349,57409.684584,133,left,0,True,a,-1.8763655000002473,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,23,104.73481919999904,57414.616933,,,102.59259319999546,57414.6170535,57414.6170725,134,right,0,True,a,-2.142226000003575,0.05,0,1,0,0,,go_incorrect,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,24,108.24866750000365,57418.1307805,,,106.85718110000016,57418.1309607,57418.130979,133,right,0,True,l,-1.3914864000034868,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,25,112.50442250000197,57422.3865393,,,110.04491140000027,57422.3866623,57422.3866752,133,right,0,True,l,-2.4595111000016914,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,26,115.66825790000439,57425.5503704,,,114.4995737000063,57425.5505638,57425.5505773,133,right,0,True,l,-1.168684199998097,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,27,119.32977640000172,57429.2118889,,,117.9628331999993,57429.2121071,57429.2121229,132,right,1,True,l,-1.3669432000024244,0.05,0,0,0,0,True,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,28,122.60355400000117,57432.4856678,,,121.30932759999996,57432.4857882,57432.4858065,134,left,0,True,l,-1.2942264000012074,0.05,0,1,0,0,,go_incorrect,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,29,128.08799730000464,57437.9701135,,,125.93156080000335,57437.9702349,57437.9702616,134,right,0,True,a,-2.1564365000012913,0.05,0,1,0,0,,go_incorrect,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,30,132.07535740000458,57441.9574701,,,130.17321820000507,57441.9576842,57441.9577036,132,left,1,True,l,-1.9021391999995103,0.05,0,0,0,0,False,stop_failure,57309.8820654,57673.0632191,0.0,363.18107056617737
sub-10010,ses-001,run-01,0,31,136.33899660000316,57446.2211082,,,134.82082629999786,57446.221283,57446.2213416,133,left,0,True,a,-1.5181703000052948,0.05,1,0,0,0,,go_correct,57309.8820654,57673.0632191,0.0,363.18107056617737
