subject_id,session_id,run,localizer,trial_num,current_good,contingency_id,trial_in_contingency,contingency_trials,flower1,flower2,left_stimulus,right_stimulus,slot1_position,slot2_position,choice,rt,correct,reward,outcome,feedback_marker,trial_start_task_time,trial_start_lsl_time,choice_window_onset_task_time,choice_window_onset_lsl_time,choice_onset_task_time,choice_onset_lsl_time,choice_onset_unix_time,choice_marker_send_lsl_time,feedback_onset_task_time,feedback_onset_lsl_time,feedback_onset_unix_time,lsl_marker_send_time,wait_time,iti,run_start_task_time,run_start_lsl_time,run_end_task_time,run_end_lsl_time
sub-4004,ses-1,4004-1,0,1,7,1,0,22,7,41,7,41,left,right,,,,,miss,33,0.0,340483.759048,0.34153056144714355,340484.1004165,,,,,1787623090131.9785,340485.9073732,1789412502632.4631,340485.9073732,554.4997379284094,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,2,7,1,1,22,7,41,41,7,right,left,,,,,miss,33,3.1514892578125,340486.9109582,3.456799030303955,340487.2154907,,,,,1787623093277.9382,340489.0532887,1789412505778.4229,340489.0532887,585.7156094774055,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,3,7,1,2,22,7,41,41,7,right,left,,,,,miss,33,6.297642707824707,340490.0569472,6.602835416793823,340490.3613666,,,,,1787623096481.15,340492.255586,1789412508981.6345,340492.255586,636.45808105683,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,4,7,1,3,22,7,41,7,41,left,right,,,,,miss,33,9.500206708908081,340493.2596496,9.804816007614136,340493.5642028,,,,,1787623099562.5889,340495.3378582,1789412512063.0735,340495.3378582,516.2310087032321,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,5,7,1,4,22,7,41,41,7,right,left,,,,,miss,33,12.582695960998535,340496.3412996,12.886927843093872,340496.6455819,,,,,1787623102679.991,340498.4552964,1789412515180.4756,340498.4552964,552.1321491982623,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,6,7,1,5,22,7,41,41,7,right,left,,,,,miss,33,15.699527025222778,340499.4585479,16.004621505737305,340499.763132,,,,,1787623105897.3704,340501.6717056,1789412518397.855,340501.6717056,656.9960824736991,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,7,7,1,6,22,7,41,41,7,right,left,,,,,miss,33,18.91739821434021,340502.6760619,19.22179627418518,340502.980699,,,,,1787623109104.2031,340504.8793506,1789412521604.6877,340504.8793506,645.4209150976316,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,8,7,1,7,22,7,41,41,7,right,left,,,,,miss,33,22.125199556350708,340505.8838131,22.429877519607544,340506.1883544,,,,,1787623112186.0637,340507.9609804,1789412524686.5483,340507.9609804,520.3526512070308,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,9,7,1,8,22,7,41,41,7,right,left,,,,,miss,33,25.206584453582764,340508.9652729,25.51155710220337,340509.2701309,,,,,1787623115262.2664,340511.0365441,1789412527762.751,340511.0365441,509.95691625136817,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,10,7,1,9,22,7,41,41,7,right,left,,,,,miss,33,28.28335213661194,340512.0419138,28.587838888168335,340512.3464276,,,,,1787623118382.9448,340514.1580008,1789412530883.4294,340514.1580008,554.3768280737295,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,11,7,1,10,22,7,41,7,41,left,right,,,,,miss,33,31.40277910232544,340515.161263,31.707379817962646,340515.4657585,,,,,1787623121510.4966,340517.2848195,1789412534010.9812,340517.2848195,566.7826627149775,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,12,7,1,11,22,7,41,7,41,left,right,,,,,miss,33,34.52944993972778,340518.288744,34.835445165634155,340518.5938503,,,,,1787623124770.2522,340520.5452223,1789412537270.7368,340520.5452223,697.1585696114779,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,13,7,1,12,22,7,41,7,41,left,right,,,,,miss,33,37.79079222679138,340521.5491846,38.09594964981079,340521.8543391,,,,,1787623127991.9775,340523.7661894,1789412540492.4622,340523.7661894,658.8364638599157,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,14,7,1,13,22,7,41,41,7,right,left,,,,,miss,33,41.01148271560669,340524.7697883,41.31587100028992,340525.0743072,,,,,1787623131173.437,340526.9484723,1789412543673.9216,340526.9484723,616.2586855472487,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,15,7,1,14,22,7,41,41,7,right,left,,,,,miss,33,44.193891525268555,340527.9523273,44.49847078323364,340528.2571192,,,,,1787623134389.4778,340530.1641092,1789412546889.9624,340530.1641092,654.890076714841,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,16,7,1,15,22,7,41,7,41,left,right,,,,,miss,33,47.40936040878296,340531.1677332,47.71374535560608,340531.4721743,,,,,1787623137611.1716,340533.3862093,1789412550111.6562,340533.3862093,661.611410575063,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,17,7,1,16,22,7,41,7,41,left,right,,,,,miss,33,50.63143348693848,340534.389672,50.93564796447754,340534.6939413,,,,,1787623140774.066,340536.5483235,1789412553274.5505,340536.5483235,601.0772144938848,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,18,7,1,17,22,7,41,7,41,left,right,,,,,miss,33,53.79357147216797,340537.5519865,54.09731459617615,340537.8562422,,,,,1787623143984.0017,340539.7587748,1789412556484.4863,340539.7587748,645.7551448264878,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,19,7,1,18,22,7,41,41,7,right,left,,,,,miss,33,57.00487446784973,340540.763943,57.30992269515991,340541.0682902,,,,,1787623147222.1624,340542.9970932,1789412559722.647,340542.9970932,675.344056965055,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,20,7,1,19,22,7,41,7,41,left,right,,,,,miss,33,60.24157118797302,340544.000563,60.54597353935242,340544.3045377,,,,,1787623150390.4453,340546.165314,1789412562890.93,340546.165314,608.2944567573942,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,21,7,1,20,22,7,41,41,7,right,left,,,,,miss,33,63.40986371040344,340547.1688362,63.715126752853394,340547.4733908,,,,,1787623153498.326,340549.2730566,1789412565998.8105,340549.2730566,542.7791080091914,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,22,7,1,21,22,7,41,41,7,right,left,,,,,miss,33,66.51837134361267,340550.2767003,66.82239770889282,340550.5806122,,,,,1787623156737.9722,340552.5125472,1789412569238.4568,340552.5125472,679.5655144063085,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,23,41,2,0,22,7,41,7,41,left,right,,,,,miss,33,69.75881910324097,340553.5171196,70.06308054924011,340553.8213652,,,,,1787623159912.6653,340555.687544,1789412572413.15,340555.687544,609.6574900144826,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,24,41,2,1,22,7,41,41,7,right,left,,,,,miss,33,72.93333077430725,340556.6914732,73.23769235610962,340556.9958894,,,,,1787623163062.031,340558.8362106,1789412575562.5156,340558.8362106,583.335158572675,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,25,41,2,2,22,7,41,41,7,right,left,,,,,miss,33,76.0814938545227,340559.8400515,76.38592600822449,340560.1441679,,,,,1787623166283.9995,340562.0580614,1789412578784.4841,340562.0580614,661.5528305830295,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,26,41,2,3,22,7,41,41,7,right,left,,,,,miss,33,79.30290102958679,340563.0615032,79.60843062400818,340563.3671491,,,,,1787623169512.72,340565.2872225,1789412582013.2046,340565.2872225,667.9550370612407,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,27,41,2,4,22,7,41,41,7,right,left,,,,,miss,33,82.53303050994873,340566.2914008,82.83776545524597,340566.5959421,,,,,1787623172693.6238,340568.467658,1789412585194.1084,340568.467658,619.7335834156999,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,28,41,2,5,22,7,41,41,7,right,left,,,,,miss,33,85.71303510665894,340569.4716102,86.01758909225464,340569.7757377,,,,,1787623175864.4082,340571.6388948,1789412588364.8928,340571.6388948,611.0029742887551,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,29,41,2,6,22,7,41,41,7,right,left,,,,,miss,33,88.88402032852173,340572.6419861,89.18856739997864,340572.9466901,,,,,1787623178990.6992,340574.7651144,1789412591491.1838,340574.7651144,565.4660000387446,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,30,41,2,7,22,7,41,41,7,right,left,,,,,miss,33,92.01144218444824,340575.7699536,92.31516981124878,340576.0740498,,,,,1787623182144.6912,340577.9189798,1789412594645.1758,340577.9189798,593.9665945013603,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,31,41,2,8,22,7,41,41,7,right,left,,,,,miss,33,95.16352248191833,340578.9216942,95.4679160118103,340579.2259836,,,,,1787623185224.9668,340580.9993468,1789412597725.4514,340580.9993468,520.8583376405786,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,32,41,2,9,22,7,41,7,41,left,right,,,,,miss,33,98.24343967437744,340582.0022467,98.5480604171753,340582.3065999,,,,,1787623188373.846,340584.1481666,1789412600874.3306,340584.1481666,589.4710754430242,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,33,41,2,10,22,7,41,41,7,right,left,,,,,miss,33,101.39336228370667,340585.1516505,101.69786310195923,340585.4557729,,,,,1787623191600.3325,340587.3748752,1789412604100.8171,340587.3748752,666.3193524925226,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,34,41,2,11,22,7,41,41,7,right,left,,,,,miss,33,104.61980056762695,340588.3778276,104.92416429519653,340588.6821572,,,,,1787623194746.011,340590.5200641,1789412607246.4956,340590.5200641,585.6648740093349,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,35,41,2,12,22,7,41,41,7,right,left,,,,,miss,33,107.76599931716919,340591.5247567,108.07120370864868,340591.8291977,,,,,1787623197933.0789,340593.7075161,1789412610433.5635,340593.7075161,625.3059441779976,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,36,41,2,13,22,7,41,7,41,left,right,,,,,miss,33,110.95375227928162,340594.7122206,111.2571952342987,340595.0158844,,,,,1787623201167.2476,340596.9418219,1789412613667.7322,340596.9418219,673.0827034293281,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,37,41,2,14,22,7,41,7,41,left,right,,,,,miss,33,114.1864550113678,340597.9448217,114.49158525466919,340598.2495502,,,,,1787623204325.469,340600.09921,1789412616825.9536,340600.09921,597.9787345251638,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,38,41,2,15,22,7,41,41,7,right,left,,,,,miss,33,117.34636044502258,340601.1041277,117.65016674995422,340601.4080759,,,,,1787623207391.5188,340603.1657988,1789412619892.0034,340603.1657988,505.1000028735996,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,39,41,2,16,22,7,41,41,7,right,left,,,,,miss,33,120.41261100769043,340604.1708816,120.7177734375,340604.4757088,,,,,1787623210464.984,340606.2392878,1789412622965.4685,340606.2392878,511.1751931853703,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,40,41,2,17,22,7,41,7,41,left,right,,,,,miss,33,123.48463487625122,340607.2433316,123.78991532325745,340607.547882,,,,,1787623213689.5903,340609.4637002,1789412626190.075,340609.4637002,663.8082145750747,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,41,41,2,18,22,7,41,41,7,right,left,,,,,miss,33,126.70902395248413,340610.4674773,127.01335191726685,340610.7711586,,,,,1787623216916.3542,340612.6907859,1789412629416.8389,340612.6907859,667.8560612489309,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,42,41,2,19,22,7,41,7,41,left,right,,,,,miss,33,129.93618822097778,340613.694773,130.2418200969696,340613.9997302,,,,,1787623220096.5857,340615.8701997,1789412632597.0703,340615.8701997,617.0073726083747,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,43,41,2,20,22,7,41,7,41,left,right,,,,,miss,33,133.1148853302002,340616.8733845,133.41964101791382,340617.1774742,,,,,1787623223212.076,340618.9865395,1789412635712.5605,340618.9865395,556.101658559389,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,44,41,2,21,22,7,41,7,41,left,right,,,,,miss,33,136.23281836509705,340619.9912378,136.5374927520752,340620.2952687,,,,,1787623226315.0156,340622.088859,1789412638815.5002,340622.088859,541.1235058002151,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
sub-4004,ses-1,4004-1,0,45,7,3,0,21,7,41,41,7,right,left,,,,,miss,33,139.33512663841248,340623.0935304,139.6401493549347,340623.3979135,,,,,1787623229405.6938,340625.1805536,1789412641906.1785,340625.1805536,530.1106465005727,300.0,0.0,340483.758976,361.9375047683716,340845.6936217
