subject_id,session_id,run,localizer,trialNumber,stim_onset,stim_onset_lsl_time,stop_onset,stop_onset_lsl_time,response_onset,response_onset_lsl_time,outcome_lsl_time,marker_code,stimulus,stop,response,response_key,rt,ssd,go_correct,go_incorrect,go_miss,stop_success,stop_failure_arrowcorrect,outcome,run_start_lsl_time,run_end_lsl_time,run_start_task_time,run_end_task_time
sub-1056100000,ses-1,run-02,0,1,1.7888471000001118,3323.6940266,2.038847100000112,3323.9456784,2.2688873000001877,3324.1742,3324.174221,132,left,1,True,a,0.48004020000007586,0.25,0,0,0,0,True,stop_failure,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,2,7.285061999999925,3329.1902394,,,7.94884329999968,3329.8541777,3329.8542025,133,left,0,True,a,0.663781299999755,0.2,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,3,13.402638600000046,3335.3078307,13.602638600000045,3335.5094458,,,3336.8078756,131,right,1,False,,,0.2,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,4,19.357770000000073,3341.2629611,,,19.8769099000001,3341.7822423,3341.7822671,133,left,0,True,a,0.5191399000000274,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,5,24.987496499999907,3346.8926749,,,25.54901549999977,3347.4543441,3347.4543702,133,left,0,True,a,0.561518999999862,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,6,29.40798249999989,3351.3131611,,,29.89291759999969,3351.7982526,3351.7982764,133,left,0,True,a,0.48493509999980233,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,7,34.51728850000018,3356.4224662,,,34.90892590000021,3356.8142603,3356.8142948,133,left,0,True,a,0.391637400000036,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,8,39.673950200000036,3361.5791304,,,40.22880040000018,3362.1341461,3362.1341718,133,left,0,True,a,0.5548502000001463,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,9,45.223184700000274,3367.128363,45.473184700000274,3367.3799283,,,3368.6284193,131,left,1,False,,,0.25,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,10,52.644576700000016,3374.5497559,,,53.61282640000036,3375.5181588,3375.5181826,133,right,0,True,l,0.9682497000003423,0.3,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,11,58.48869909999985,3380.3938898,,,59.18096319999995,3381.0863758,3381.0864125,133,right,0,True,l,0.6922641000001022,0.3,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,12,63.434232500000235,3385.3394133,,,63.98884810000027,3385.8941693,3385.8941934,133,right,0,True,l,0.5546156000000337,0.3,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,13,68.06760789999998,3389.972785,68.36760789999998,3390.2743399,68.64480699999967,3390.5501196,3390.5501463,132,right,1,True,l,0.5771990999996888,0.3,0,0,0,0,True,stop_failure,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,14,72.85698309999998,3394.7621756,,,73.46083640000006,3395.3661714,3395.3661959,133,left,0,True,a,0.6038533000000825,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,15,77.76358299999993,3399.6687641,,,78.35687599999983,3400.2622552,3400.2622975,133,left,0,True,a,0.5932929999999033,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,16,83.70943309999984,3405.6146123,,,84.26881830000002,3406.1741873,3406.1742107,133,right,0,True,l,0.5593852000001789,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,17,88.05803879999985,3409.9632174,,,88.42880549999973,3410.3341644,3410.3341866,133,left,0,True,a,0.37076669999987644,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,18,92.31834919999983,3414.2235287,,,92.68481650000012,3414.5901464,3414.5901731,133,right,0,True,l,0.3664673000002949,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,19,97.01738079999996,3418.9225742,97.26738079999996,3419.1741582,97.41281929999968,3419.3181379,3419.3181622,132,right,1,True,l,0.39543849999972736,0.25,0,0,0,0,True,stop_failure,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,20,102.55165560000023,3424.4568329,,,102.87684190000027,3424.7821397,3424.7821642,133,left,0,True,a,0.32518630000004123,0.2,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,21,107.78350480000017,3429.6886829,,,108.37285440000005,3430.2781892,3430.2782138,133,right,0,True,l,0.5893495999998777,0.2,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,22,113.46091280000019,3435.3660936,113.66091280000019,3435.5678717,,,3436.8662153,131,right,1,False,,,0.2,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,23,119.61109130000023,3441.5162705,,,120.1087534000003,3442.0140771,3442.0141002,133,right,0,True,l,0.4976621000000705,0.25,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,24,124.20309529999986,3446.1082871,124.45309529999986,3446.3598828,,,3447.6083355,131,left,1,False,,,0.25,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,25,130.57484250000016,3452.4800222,130.87484250000017,3452.7815434,,,3453.9800677,131,right,1,False,,,0.3,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,26,135.90563629999997,3457.8108147,,,136.84487450000006,3458.7502362,3458.7502667,133,left,0,True,a,0.9392382000000907,0.35,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,27,141.70796310000014,3463.6131409,142.05796310000014,3463.9647096,,,3465.1131835,131,left,1,False,,,0.35,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,28,146.99632950000023,3468.9015083,147.39632950000023,3469.3031188,,,3470.4015537,131,left,1,False,,,0.4,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,29,152.66486380000015,3474.5700418,,,153.36487570000008,3475.2702489,3475.270273,133,left,0,True,a,0.7000118999999358,0.45,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,30,157.1779792000002,3479.0831598,,,157.97296780000033,3479.8782837,3479.8783698,133,left,0,True,a,0.7949886000001243,0.45,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,31,162.55213379999987,3484.4573257,,,163.01289559999987,3484.9185916,3484.9186172,133,right,0,True,l,0.4607618000000002,0.45,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,32,166.62594799999988,3488.531127,167.07594799999987,3488.982886,167.14064199999984,3489.0461741,3489.0461965,132,right,1,True,l,0.5146939999999631,0.45,0,0,0,0,True,stop_failure,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,33,170.68842859999995,3492.5936064,,,171.30079249999972,3493.2060998,3493.2061229,133,left,0,True,a,0.6123638999997638,0.4,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,34,176.28328420000025,3498.1884616,,,176.7407986000003,3498.6461533,3498.64618,133,right,0,True,l,0.4575144000000364,0.4,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,35,181.13179600000012,3503.0369741,181.53179600000013,3503.4385099,181.62079110000013,3503.5260875,3503.5261097,132,right,1,True,l,0.488995100000011,0.4,0,0,0,0,True,stop_failure,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,36,186.19711749999988,3508.1023101,186.54711749999987,3508.4538897,,,3509.6023602,131,right,1,False,,,0.35,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,37,191.52663489999986,3513.4318267,191.92663489999987,3513.8333564,,,3514.9318727,131,right,1,False,,,0.4,0,0,0,1,,stop_success,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,38,196.9937519,3518.8989447,,,197.62093079999977,3519.5262482,3519.5262716,133,left,0,True,a,0.6271788999997625,0.45,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,39,202.67661700000008,3524.5818085,,,203.31673279999995,3525.2220754,3525.2221007,133,left,0,True,a,0.6401157999998759,0.45,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,40,207.93846829999984,3529.8436478,208.38846829999983,3530.2954551,208.58874799999967,3530.4941032,3530.4941277,132,right,1,True,l,0.6502796999998282,0.45,0,0,0,0,True,stop_failure,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,41,211.77803489999997,3533.6832149,,,212.43690289999995,3534.3422574,3534.3422853,133,right,0,True,l,0.658867999999984,0.4,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
sub-1056100000,ses-1,run-02,0,42,216.63258929999984,3538.5377816,,,217.2847380999997,3539.1900568,3539.190082,133,right,0,True,l,0.6521487999998499,0.4,1,0,0,0,,go_correct,3321.9051314,3686.6012616,0.0,364.7024235725403
