subject_id	session_id	run	localizer	trial_num	current_good	contingency_id	trial_in_contingency	contingency_trials	flower1	flower2	left_stimulus	right_stimulus	slot1_position	slot2_position	choice	rt	correct	reward	outcome	feedback_marker	trial_start_task_time	trial_start_lsl_time	trial_start_unix_time	choice_window_onset_task_time	choice_window_onset_lsl_time	choice_window_onset_unix_time	choice_onset_task_time	choice_onset_lsl_time	choice_onset_unix_time	choice_marker_send_lsl_time	feedback_onset_task_time	feedback_onset_lsl_time	feedback_onset_unix_time	lsl_marker_send_time	wait_time	iti	run_start_task_time	run_start_lsl_time	run_start_unix_time	run_end_task_time	run_end_lsl_time	run_end_unix_time
sub-10052	ses-1	run-01	0	1	1	1	0	24	1	23	23	1	right	left	2	667.3102000058861	False	False	loss	32	0.0	102728.4225144	1789672300361.5295	0.3439948558807373	102728.7669814	1789672300705.5244	1.0113050558866234	102729.4342916	1789672301372.8347	102729.6866387	1.9330360889434814	102730.3562834	1789672302294.5657	102730.3562834	665.7567183857917	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	2	1	1	1	24	1	23	23	1	right	left	2	588.3899000036763	False	False	loss	32	2.9347925186157227	102731.3573422	1789672303296.322	3.239321708679199	102731.661838	1789672303600.8513	3.8277116086828755	102732.2502279	1789672304189.2412	102732.5068064	4.6762237548828125	102733.0994901	1789672305037.7534	102733.0994901	588.1728205895248	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	3	1	1	2	24	1	23	1	23	left	right	1	412.9714000009699	True	True	win	31	5.6782145500183105	102734.1008538	1789672306039.7441	5.982809066772461	102734.4053335	1789672306344.3386	6.395780466773431	102734.8183049	1789672306757.31	102735.0734392	7.269519090652466	102735.692887	1789672307631.0486	102735.692887	615.0364741246347	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	4	1	1	3	24	1	23	1	23	left	right	1	419.30959999444894	True	False	loss	32	8.272143363952637	102736.6947183	1789672308633.6729	8.576131582260132	102736.9988324	1789672308937.6611	8.99544118225458	102737.418142	1789672309356.9707	102737.6718114	9.790109634399414	102738.2135641	1789672310151.6392	102738.2135641	537.2154034072884	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	5	1	1	4	24	1	23	1	23	left	right	2	282.5230000016745	False	False	loss	32	10.792097330093384	102739.21482	1789672311153.627	11.097094774246216	102739.5197707	1789672311458.6243	11.37961777424789	102739.8022937	1789672311741.1472	102740.0576952	12.17007064819336	102740.5936106	1789672312531.6003	102740.5936106	531.4836523230413	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	6	1	1	5	24	1	23	23	1	right	left	1	438.5779000003822	True	True	win	31	13.173054218292236	102741.5957346	1789672313534.5837	13.477049112319946	102741.8998425	1789672313838.5786	13.915627012320329	102742.3384204	1789672314277.1565	102742.5938076	14.677021265029907	102743.1004549	1789672315038.5508	102743.1004549	502.97863395421695	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	7	1	1	6	24	1	23	23	1	right	left	1	579.6435000083875	True	False	loss	32	15.679008483886719	102744.1018144	1789672316040.538	15.9830002784729	102744.4065905	1789672316344.5298	16.562643778481288	102744.98623400001	1789672316924.1733	102745.2415887	17.350608348846436	102745.7739363	1789672317712.138	102745.7739363	528.951213256818	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	8	1	1	7	24	1	23	23	1	right	left	2	657.9862999933539	False	False	loss	32	18.352564334869385	102746.7753058	1789672318714.094	18.6575026512146	102747.0803355	1789672319019.0322	19.315488951207954	102747.73832179999	1789672319677.0186	102747.9952852	20.12661051750183	102748.5502567	1789672320488.1401	102748.5502567	551.9441697973161	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	9	1	1	8	24	1	23	1	23	left	right	1	426.0486999992281	True	True	win	31	21.128528356552124	102749.5514322	1789672321490.0579	21.433256149291992	102749.8561475	1789672321794.7856	21.85930484929122	102750.2821962	1789672322220.8342	102750.5351312	22.712127447128296	102751.1357819	1789672323073.657	102751.1357819	596.0988052306263	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	10	1	1	9	24	1	23	23	1	right	left	2	744.5977000024868	False	True	win	31	23.714462757110596	102752.1374145	1789672324075.9924	24.01782202720642	102752.4416005	1789672324379.3516	24.762419727208908	102753.1861982	1789672325123.9492	102753.4407064	25.583834171295166	102754.0074943	1789672325945.3638	102754.0074943	563.1824711224046	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	11	1	1	10	24	1	23	23	1	right	left	2	475.3237000113586	False	True	win	31	26.584815979003906	102755.0077589	1789672326946.3455	26.887810468673706	102755.3108575	1789672327249.34	27.363134168685065	102755.7861812	1789672327724.6638	102756.0388055	28.158787488937378	102756.5825856	1789672328520.3171	102756.5825856	539.2562025593035	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	12	1	1	11	24	1	23	23	1	right	left	2	601.2254000088433	False	False	loss	32	29.16076922416687	102757.5837185	1789672329522.2988	29.465774059295654	102757.8888951	1789672329827.3037	30.066999459304498	102758.4901205	1789672330428.529	102758.7437281	31.008168697357178	102759.4319182	1789672331369.6982	102759.4319182	684.8540902824535	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	13	1	1	12	24	1	23	23	1	right	left	1	369.04130000039004	True	True	win	31	32.01015615463257	102760.4331491	1789672332371.6858	32.31415772438049	102760.737181	1789672332675.6873	32.68319902438088	102761.1062223	1789672333044.7285	102761.3611356	33.59966588020325	102762.0233594	1789672333961.1956	102762.0233594	658.7011881675505	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	14	1	1	13	24	1	23	1	23	left	right	2	440.76959999802057	False	False	loss	32	34.60168099403381	102763.0247289	1789672334963.2107	34.90626931190491	102763.3293677	1789672335267.7988	35.34703891190293	102763.7701373	1789672335708.5684	102764.0224611	36.295369148254395	102764.7191917	1789672336656.8987	102764.7191917	692.3853208918355	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	15	1	1	14	24	1	23	23	1	right	left	1	377.22219999704976	True	True	win	31	37.29683566093445	102765.7199264	1789672337658.3652	37.601765871047974	102766.0249012	1789672337963.2954	37.97898807104502	102766.4021234	1789672338340.5176	102766.6581404	38.880568981170654	102767.3040772	1789672339242.0986	102767.3040772	642.4272164432255	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
sub-10052	ses-1	run-01	0	16	1	1	15	24	1	23	23	1	right	left	1	560.4425999918021	True	True	win	31	39.88203501701355	102768.305275	1789672340243.5647	40.18646478652954	102768.6097181	1789672340547.9944	40.74690738652134	102769.17016069998	1789672341108.437	102769.4246997	41.51343393325806	102769.9374741	1789672341874.9636	102769.9374741	508.5800490031147	300.0	0.0	102728.4224295	1789672300361.5295	602.1213486194611	103330.5550401	1789672902482.8782
