metric,frequency_hz,db_change
outcome_theta,4.0,0.23659595065684855
outcome_theta,4.25,0.2715146717523574
outcome_theta,4.5,0.2877046432677145
outcome_theta,4.75,0.2716667362213876
outcome_theta,5.0,0.23383720534298313
outcome_theta,5.25,0.197725342836879
outcome_theta,5.5,0.18197137215304368
outcome_theta,5.75,0.18838267847036888
outcome_theta,6.0,0.20257095239532258
outcome_theta,6.25,0.205908414899719
outcome_theta,6.5,0.18855634847447272
outcome_theta,6.75,0.15418812710614493
outcome_theta,7.0,0.1153705691341811
outcome_theta,7.25,0.08594172824114539
outcome_theta,7.5,0.07515044939924492
outcome_theta,7.75,0.08599920203430901
outcome_theta,8.0,0.1158208359512907
outcome_theta,8.25,0.15757607563803303
outcome_theta,8.5,0.2014958247876722
outcome_theta,8.75,0.23724977927636154
outcome_theta,9.0,0.2560079256866669
outcome_theta,9.25,0.25200785912865536
outcome_theta,9.5,0.22324541063107534
outcome_theta,9.75,0.17108692865199718
outcome_theta,10.0,0.09942744093656035
outcome_theta,10.25,0.013428785581086391
outcome_theta,10.5,-0.08133115026474882
outcome_theta,10.75,-0.17982970167667353
outcome_theta,11.0,-0.2778540647977355
outcome_theta,11.25,-0.3721838670018761
outcome_theta,11.5,-0.4605600146028261
outcome_theta,11.75,-0.5414823022769725
outcome_theta,12.0,-0.6141028839239955
decision_beta_erd,13.0,0.7321625272242993
decision_beta_erd,13.5,0.604001778549462
decision_beta_erd,14.0,0.46137409169173643
decision_beta_erd,14.5,0.32489448475949306
decision_beta_erd,15.0,0.20706261564189293
decision_beta_erd,15.5,0.11041867314050915
decision_beta_erd,16.0,0.031006806461292582
decision_beta_erd,16.5,-0.03728630099080989
decision_beta_erd,17.0,-0.09932009514019119
decision_beta_erd,17.5,-0.1571247756100174
decision_beta_erd,18.0,-0.2106063032216978
decision_beta_erd,18.5,-0.2582557821313833
decision_beta_erd,19.0,-0.2980477037995861
decision_beta_erd,19.5,-0.32794573736088956
decision_beta_erd,20.0,-0.3461067098714687
decision_beta_erd,20.5,-0.35094212446849277
decision_beta_erd,21.0,-0.3412473206434831
decision_beta_erd,21.5,-0.31624281628064504
decision_beta_erd,22.0,-0.2762181862258055
decision_beta_erd,22.5,-0.2225782758018325
decision_beta_erd,23.0,-0.15830603691734496
decision_beta_erd,23.5,-0.08752819531123998
decision_beta_erd,24.0,-0.015118695114302536
decision_beta_erd,24.5,0.05408910229459405
decision_beta_erd,25.0,0.11585444550639826
decision_beta_erd,25.5,0.16719457855211625
decision_beta_erd,26.0,0.20640350291677975
decision_beta_erd,26.5,0.2330049711673512
decision_beta_erd,27.0,0.24750989835702225
decision_beta_erd,27.5,0.2511104443183137
decision_beta_erd,28.0,0.24538075504416823
decision_beta_erd,28.5,0.23202449694162275
decision_beta_erd,29.0,0.2127614912510334
decision_beta_erd,29.5,0.18888482960627145
decision_beta_erd,30.0,0.16169749820491386
