metric,frequency_hz,db_change
outcome_theta,4.0,-0.6751641477158478
outcome_theta,4.25,-0.8516121040544918
outcome_theta,4.5,-0.9263270284244631
outcome_theta,4.75,-0.8641668237406696
outcome_theta,5.0,-0.6806321063865359
outcome_theta,5.25,-0.43389972044477904
outcome_theta,5.5,-0.18751142651827635
outcome_theta,5.75,0.01830103691160637
outcome_theta,6.0,0.16696547869289338
outcome_theta,6.25,0.25844772076433564
outcome_theta,6.5,0.305502670604165
outcome_theta,6.75,0.3291244309865388
outcome_theta,7.0,0.3512626142280444
outcome_theta,7.25,0.38909272717656235
outcome_theta,7.5,0.45343417533508196
outcome_theta,7.75,0.5477936898762803
outcome_theta,8.0,0.668831338239875
outcome_theta,8.25,0.8091843230111078
outcome_theta,8.5,0.9616808320997339
outcome_theta,8.75,1.119617715751586
outcome_theta,9.0,1.2762541275208263
outcome_theta,9.25,1.4247631765192519
outcome_theta,9.5,1.5592954695193104
outcome_theta,9.75,1.6755388324918046
outcome_theta,10.0,1.7709183268319055
outcome_theta,10.25,1.844426027620742
outcome_theta,10.5,1.896107389158312
outcome_theta,10.75,1.9267021884045379
outcome_theta,11.0,1.9373385062045019
outcome_theta,11.25,1.929328665811842
outcome_theta,11.5,1.9041003277324215
outcome_theta,11.75,1.8628769289051361
outcome_theta,12.0,1.8070455930229694
decision_beta_erd,13.0,0.28111929525236584
decision_beta_erd,13.5,0.15272837031387035
decision_beta_erd,14.0,0.014540759676452592
decision_beta_erd,14.5,-0.12330572745367328
decision_beta_erd,15.0,-0.2514259566958884
decision_beta_erd,15.5,-0.36380366073337383
decision_beta_erd,16.0,-0.4584253181489838
decision_beta_erd,16.5,-0.536224928133119
decision_beta_erd,17.0,-0.5989212294859575
decision_beta_erd,17.5,-0.648123885046954
decision_beta_erd,18.0,-0.6852486701900483
decision_beta_erd,18.5,-0.7111932564189118
decision_beta_erd,19.0,-0.7265523932367888
decision_beta_erd,19.5,-0.7317150563400059
decision_beta_erd,20.0,-0.7269186847333718
decision_beta_erd,20.5,-0.7122783557082163
decision_beta_erd,21.0,-0.6878563311333553
decision_beta_erd,21.5,-0.653617685779197
decision_beta_erd,22.0,-0.609793075697542
decision_beta_erd,22.5,-0.5568888355265925
decision_beta_erd,23.0,-0.4959631810194465
decision_beta_erd,23.5,-0.42865993871270824
decision_beta_erd,24.0,-0.3571505764216381
decision_beta_erd,24.5,-0.28390833253665965
decision_beta_erd,25.0,-0.21145068643019724
decision_beta_erd,25.5,-0.1420344534192542
decision_beta_erd,26.0,-0.07748242518993956
decision_beta_erd,26.5,-0.019096928566765238
decision_beta_erd,27.0,0.03233055471237808
decision_beta_erd,27.5,0.07645068292236981
decision_beta_erd,28.0,0.1132634823945358
decision_beta_erd,28.5,0.14302691725534875
decision_beta_erd,29.0,0.16622033455858412
decision_beta_erd,29.5,0.18332760223229064
decision_beta_erd,30.0,0.19502483170255416
