metric,frequency_hz,db_change
outcome_theta,4.0,-0.14319803802620718
outcome_theta,4.25,-0.10757832295606973
outcome_theta,4.5,-0.05450639715806651
outcome_theta,4.75,0.013037029343170772
outcome_theta,5.0,0.08953757806531115
outcome_theta,5.25,0.17223216292153343
outcome_theta,5.5,0.2618770302671898
outcome_theta,5.75,0.3597166941172951
outcome_theta,6.0,0.4629632147781279
outcome_theta,6.25,0.5624317587480184
outcome_theta,6.5,0.6437705372674828
outcome_theta,6.75,0.6922203518732821
outcome_theta,7.0,0.6977774220279344
outcome_theta,7.25,0.6588460591330834
outcome_theta,7.5,0.5826610173664845
outcome_theta,7.75,0.4834172108303025
outcome_theta,8.0,0.3783635091168348
outcome_theta,8.25,0.28373529204752523
outcome_theta,8.5,0.21126527441745102
outcome_theta,8.75,0.166023605109689
outcome_theta,9.0,0.14658196020647415
outcome_theta,9.25,0.14663940204350095
outcome_theta,9.5,0.15790095943099566
outcome_theta,9.75,0.17248077953017435
outcome_theta,10.0,0.18451948536672544
outcome_theta,10.25,0.1905768367370464
outcome_theta,10.5,0.18939300931467476
outcome_theta,10.75,0.1811470468897856
outcome_theta,11.0,0.16696722124047522
outcome_theta,11.25,0.14850178958650675
outcome_theta,11.5,0.1276758510287039
outcome_theta,11.75,0.10642348986616004
outcome_theta,12.0,0.08675181108697248
decision_beta_erd,13.0,0.34808275557998386
decision_beta_erd,13.5,0.45121306801478595
decision_beta_erd,14.0,0.5693157119426872
decision_beta_erd,14.5,0.6898512218102733
decision_beta_erd,15.0,0.798405708090791
decision_beta_erd,15.5,0.8814105205108571
decision_beta_erd,16.0,0.927303590620902
decision_beta_erd,16.5,0.9287717634888144
decision_beta_erd,17.0,0.8853835983059566
decision_beta_erd,17.5,0.804477150382941
decision_beta_erd,18.0,0.6994707298312608
decision_beta_erd,18.5,0.5859159146669302
decision_beta_erd,19.0,0.4776499924001344
decision_beta_erd,19.5,0.38406606467912535
decision_beta_erd,20.0,0.3094894694735351
decision_beta_erd,20.5,0.2545352398795916
decision_beta_erd,21.0,0.21785778156685118
decision_beta_erd,21.5,0.197445779208716
decision_beta_erd,22.0,0.19041709203656196
decision_beta_erd,22.5,0.19394093259115566
decision_beta_erd,23.0,0.20473445426334108
decision_beta_erd,23.5,0.22068546116995688
decision_beta_erd,24.0,0.24059726570055937
decision_beta_erd,24.5,0.26427055591200305
decision_beta_erd,25.0,0.29262388659415733
decision_beta_erd,25.5,0.3268913986794173
decision_beta_erd,26.0,0.36844540050727964
decision_beta_erd,26.5,0.4184324398306159
decision_beta_erd,27.0,0.47758472198922636
decision_beta_erd,27.5,0.5462043970575375
decision_beta_erd,28.0,0.6242798581678289
decision_beta_erd,28.5,0.7116486051642502
decision_beta_erd,29.0,0.807920465683769
decision_beta_erd,29.5,0.913371424779418
decision_beta_erd,30.0,1.0278002591160023
