phase,event_index,event_unix_ms,channel_number,channel_name,max_abs_uv
feedback,0,1787421430462.6775,5,F4,205.43108711730883
feedback,1,1787421432644.6743,2,Fp1,313.5743965110207
feedback,2,1787421435009.3218,2,Fp1,313.5743965110207
feedback,5,1787421442877.111,2,Fp1,225.93060348074226
feedback,16,1787421468784.5151,2,Fp1,290.2009308545814
feedback,26,1787421492625.975,2,Fp1,310.0488173965772
feedback,27,1787421494793.139,2,Fp1,310.0488173965772
feedback,35,1787421512906.9238,5,F4,212.44205950313608
feedback,36,1787421515088.0808,5,F4,212.44205950313608
feedback,40,1787421524362.8635,2,Fp1,226.35287810764606
feedback,41,1787421526592.688,2,Fp1,226.35287810764606
feedback,43,1787421531183.932,5,F4,232.1477198553794
feedback,44,1787421533372.421,2,Fp1,331.4127449919522
feedback,44,1787421533372.421,5,F4,232.1477198553794
feedback,45,1787421535529.1982,2,Fp1,331.4127449919522
feedback,46,1787421537841.418,2,Fp1,264.6056280918463
feedback,47,1787421540219.4312,2,Fp1,264.6056280918463
feedback,50,1787421547602.589,2,Fp1,236.35740389454028
feedback,56,1787421562257.535,2,Fp1,292.46996586428247
feedback,59,1787421568859.438,2,Fp1,319.07316722038195
feedback,69,1787421592035.947,2,Fp1,307.9232406970773
feedback,70,1787421594489.2388,2,Fp1,307.9232406970773
feedback,86,1787421630840.0786,2,Fp1,307.34662400231446
feedback,87,1787421633261.9895,2,Fp1,307.34662400231446
feedback,89,1787421637849.6052,2,Fp1,268.99632703015317
feedback,90,1787421640158.0757,2,Fp1,264.1615323369007
feedback,100,1787421663294.7996,1,F3,313.401608756367
feedback,100,1787421663294.7996,2,Fp1,338.91259980532925
feedback,100,1787421663294.7996,4,FT7,261.6198043676356
feedback,101,1787421665653.0916,2,Fp1,325.8511227999433
feedback,109,1787421683736.6497,2,Fp1,290.3431648207176
feedback,110,1787421686056.6565,2,Fp1,290.3431648207176
feedback,111,1787421688458.3655,2,Fp1,235.6000409559064
feedback,119,1787421710010.7983,2,Fp1,312.46964840840246
decision,0,1787421429510.4714,2,Fp1,296.39823744859723
decision,2,1787421434078.495,2,Fp1,313.5743965110207
decision,17,1787421470282.8567,2,Fp1,290.2009308545814
decision,27,1787421493983.6768,2,Fp1,310.0488173965772
decision,36,1787421514219.7144,5,F4,212.44205950313608
decision,41,1787421525815.6714,2,Fp1,226.35287810764606
decision,44,1787421532576.9226,5,F4,232.1477198553794
decision,45,1787421534751.5994,2,Fp1,331.4127449919522
decision,47,1787421539336.8953,2,Fp1,264.6056280918463
decision,51,1787421549035.6611,2,Fp1,236.35740389454028
decision,57,1787421563747.2695,2,Fp1,292.46996586428247
decision,60,1787421570312.9148,2,Fp1,319.07316722038195
decision,70,1787421593544.396,2,Fp1,307.9232406970773
decision,87,1787421632308.61,2,Fp1,307.34662400231446
decision,90,1787421639334.396,2,Fp1,268.99632703015317
decision,101,1787421664763.7903,1,F3,313.401608756367
decision,101,1787421664763.7903,4,FT7,261.6198043676356
decision,102,1787421667162.3738,2,Fp1,325.8511227999433
decision,110,1787421685169.717,2,Fp1,290.3431648207176
decision,111,1787421687547.2634,2,Fp1,235.6000409559064
