subject_id,session_id,run,mode,phase,stim_condition,protocol_label_to_show,operator_confirmed_protocol,operator_confirmed_frequency_hz,intended_stimulation_frequency_hz,actual_or_confirmed_stimulation_frequency_hz,theta_source,theta_estimate_file,theta_reliable,theta_reliability_reason,beta_source,beta_estimate_file,beta_reliable,beta_reliability_reason,rhythm_key,rhythm_label,rhythm_source,rhythm_estimate_file,rhythm_reliable,rhythm_reliability_reason,trialNumber,stim_onset,stim_onset_lsl_time,stop_onset,stop_onset_lsl_time,response_onset,response_onset_lsl_time,outcome_lsl_time,marker_code,stimulus,stop,response,response_key,rt,ssd,go_correct,go_incorrect,go_miss,stop_success,stop_failure_arrowcorrect,outcome,run_start_lsl_time,run_end_lsl_time,run_start_task_time,run_end_task_time
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,1,1.9654937000013888,2158405.0435931,,,2.7999440003186464,2158405.8781817,2158405.8782099,133,left,0,True,1,0.8344503003172576,0.25,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,2,6.0325111001729965,2158409.11061,,,6.423913400154561,2158409.5021523,2158409.5021795,133,left,0,True,1,0.3914022999815643,0.25,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,3,11.515154500026256,2158414.5932541,,,9.755848799832165,2158414.5933404,2158414.5933486,134,right,0,True,1,-1.7593057001940906,0.25,0,1,0,0,,go_incorrect,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,4,16.677793900016695,2158419.7559213,16.927793900016695,2158419.7560345,14.250857799779624,2158419.7560417,2158419.7560466,132,left,1,True,1,-2.4269361002370715,0.25,0,0,0,0,True,stop_failure,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,5,21.693271399941295,2158424.7713694,21.893271399941295,2158424.9731709,22.375950399786234,2158425.4541859,2158425.4542122,132,right,1,True,2,0.6826789998449385,0.2,0,0,0,0,True,stop_failure,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,6,26.093971299938858,2158429.1720708,,,26.407900699879974,2158429.4861385,2158429.4861632,133,left,0,True,1,0.31392939994111657,0.15,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,7,30.749956900253892,2158433.8280557,,,31.05593780055642,2158434.1341738,2158434.1341976,133,right,0,True,2,0.30598090030252934,0.15,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,8,34.48277260037139,2158437.5608724,,,34.78389930073172,2158437.8621329,2158437.8621586,134,right,0,True,1,0.30112670036032796,0.15,0,1,0,0,,go_incorrect,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,9,40.59115570038557,2158443.6692533,,,38.2720865001902,2158443.6693361,2158443.6693437,134,left,0,True,2,-2.319069200195372,0.15,0,1,0,0,,go_incorrect,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,10,46.30823040008545,2158449.3863285,,,43.75845740037039,2158449.3864103,2158449.386418,133,left,0,True,1,-2.54977299971506,0.15,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,11,49.7742864000611,2158452.8523905,,,48.195343299768865,2158452.8524819,2158452.8524895,133,left,0,True,1,-1.5789431002922356,0.15,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,12,52.88392790034413,2158455.9620267,,,51.446234500501305,2158455.9621141,2158455.9621224,133,right,0,True,2,-1.4376933998428285,0.15,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,13,56.912092900369316,2158459.990191,,,57.44773630052805,2158460.5260535,2158460.5260799,134,left,0,True,2,0.5356434001587331,0.15,0,1,0,0,,go_incorrect,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,14,62.33411310007796,2158465.4122119,,,60.493597800377756,2158465.4122955,2158465.4123047,133,left,0,True,1,-1.8405152997002006,0.15,1,0,0,0,,go_correct,2158400.4145738,2158474.0773875,0.0,73.66669940948486
sub-2002,ses-001,run-localizer,LOCALIZER_SST,localizer,none,LOCALIZER_NO_STIM,,,,,none,,False,No stimulation during SST localizer.,none,,False,,none,none,none,,False,No stimulation during SST localizer.,15,67.14196659997106,2158470.2200647,67.29196659997106,2158470.2201486,65.21070860000327,2158470.2201546,2158470.2201589,132,left,1,True,1,-1.9312579999677837,0.15,0,0,0,0,True,stop_failure,2158400.4145738,2158474.0773875,0.0,73.66669940948486
